Path,Visits,PercentOfTotal,,
pdp-end,41627
pdp-media-end,15603
pdp-pdp-end,3918
pdp-floorplans-end,3519
pdp-srp-end,3072
pdp-media-srp-end,2174
pdp-phone_lead-end,1919
pdp-media-floorplans-end,1578
pdp-media-pdp-end,1465
pdp-media-pdp-media-end,1306
pdp-pdp-pdp-end,1070
pdp-lead_floor_plans-end,1031
pdp-srp-srp-end,966
pdp-pdp-media-end,773
pdp-media-srp-srp-end,721
pdp-srp-pdp-end,678
pdp-floorplans-pdp-end,532
pdp-media-srp-pdp-media-end,514
pdp-srp-srp-srp-end,461
pdp-media-lead_media_div-end,456
pdp-lead_property_overview-end,429
pdp-media-lead_floor_plans-end,400
pdp-media-srp-srp-srp-end,373
pdp-floorplans-pdp-floorplans-end,370
pdp-floorplans-srp-end,366
pdp-email_lead-end,348
pdp-srp-pdp-srp-end,347
pdp-pdp-pdp-pdp-end,333
pdp-media-srp-pdp-media-srp-end,317
pdp-media-pdp-media-pdp-media-end,308
pdp-media-phone_lead-end,299
pdp-media-srp-pdp-end,268
pdp-media-pdp-pdp-end,263
pdp-srp-srp-srp-srp-end,253
pdp-media-lead_property_overview-end,245
pdp-pdp-floorplans-end,239
pdp-media-floorplans-srp-end,227
pdp-pdp-srp-end,227
pdp-srp-pdp-media-end,217
pdp-home-end,214
pdp-floorplans-media-end,213
pdp-lead_floor_plans-email_lead-end,208
pdp-media-email_lead-end,196
pdp-floorplans-pdp-media-end,191
pdp-media-floorplans-pdp-end,191
pdp-media-srp-srp-srp-srp-end,182
pdp-media-pdp-media-pdp-end,180
pdp-phone_lead-phone_lead-end,178
pdp-lead_floor_plans-srp-end,166
pdp-phone_lead-pdp-end,161
pdp-pdp-pdp-pdp-pdp-end,157
pdp-media-floorplans-pdp-floorplans-end,156
pdp-srp-srp-pdp-end,151
pdp-srp-srp-srp-srp-srp-end,150
pdp-media-pdp-floorplans-end,147
pdp-lead_floor_plans-pdp-end,147
pdp-media-srp-pdp-srp-end,143
pdp-media-srp-pdp-media-srp-pdp-media-end,133
pdp-pdp-pdp-media-end,133
pdp-srp-pdp-media-srp-end,132
pdp-floorplans-srp-pdp-end,129
pdp-pdp-media-pdp-end,119
pdp-srp-pdp-pdp-end,118
pdp-media-home-end,117
pdp-media-srp-srp-pdp-media-end,116
pdp-srp-pdp-srp-srp-end,115
pdp-media-pdp-media-srp-end,113
